Team,DATE,Points
Saint Peter's Peacocks,"Sat, Nov 29",61
Saint Peter's Peacocks,"Fri, Dec 5",69
Saint Peter's Peacocks,"Sun, Dec 7",71
Saint Peter's Peacocks,"Sat, Dec 13",68
Saint Peter's Peacocks,"Mon, Dec 22",116
Saint Peter's Peacocks,"Mon, Dec 29",70
Saint Peter's Peacocks,"Fri, Jan 2",69
Saint Peter's Peacocks,"Fri, Jan 9",65
Saint Peter's Peacocks,"Sun, Jan 11",76
Saint Peter's Peacocks,"Wed, Jan 14",74
Saint Peter's Peacocks,"Sat, Jan 17",69
Saint Peter's Peacocks,"Mon, Jan 19",77
Saint Peter's Peacocks,"Sat, Jan 24",59
Saint Peter's Peacocks,"Fri, Jan 30",66
Saint Peter's Peacocks,"Sun, Feb 1",78
Saint Peter's Peacocks,"Thu, Feb 5",80
Saint Peter's Peacocks,"Sat, Feb 7",70
Saint Peter's Peacocks,"Fri, Feb 13",71
Saint Peter's Peacocks,"Sun, Feb 15",83
Saint Peter's Peacocks,"Fri, Feb 20",64
Saint Peter's Peacocks,"Sun, Feb 22",63
Saint Peter's Peacocks,"Fri, Feb 27",75
Saint Peter's Peacocks,"Sun, Mar 1",63
Saint Peter's Peacocks,"Fri, Mar 6",55
Marquette Golden Eagles,"Mon, Nov 3",80
Marquette Golden Eagles,"Wed, Nov 5",100
Marquette Golden Eagles,"Sun, Nov 9",77
Marquette Golden Eagles,"Wed, Nov 12",89
Marquette Golden Eagles,"Sat, Nov 15",82
Marquette Golden Eagles,"Wed, Nov 19",71
Marquette Golden Eagles,"Sat, Nov 22",85
Marquette Golden Eagles,"Fri, Nov 28",74
Marquette Golden Eagles,"Tue, Dec 2",75
Marquette Golden Eagles,"Sat, Dec 6",76
Marquette Golden Eagles,"Sat, Dec 13",59
Marquette Golden Eagles,"Wed, Dec 17",69
Marquette Golden Eagles,"Sat, Dec 20",63
Marquette Golden Eagles,"Tue, Dec 30",73
Marquette Golden Eagles,"Sun, Jan 4",57
Marquette Golden Eagles,"Wed, Jan 7",66
Marquette Golden Eagles,"Sat, Jan 10",73
Marquette Golden Eagles,"Tue, Jan 13",68
Marquette Golden Eagles,"Fri, Jan 16",75
Marquette Golden Eagles,"Mon, Jan 19",105
Marquette Golden Eagles,"Fri, Jan 23",76
Marquette Golden Eagles,"Tue, Jan 27",86
Marquette Golden Eagles,"Sat, Jan 31",64
Marquette Golden Eagles,"Sat, Feb 7",70
Marquette Golden Eagles,"Tue, Feb 10",74
Marquette Golden Eagles,"Sat, Feb 14",88
Marquette Golden Eagles,"Wed, Feb 18",70
Marquette Golden Eagles,"Tue, Feb 24",76
Marquette Golden Eagles,"Sun, Mar 1",51
Marquette Golden Eagles,"Wed, Mar 4",78
Marquette Golden Eagles,"Sat, Mar 7",68
Marquette Golden Eagles,"Wed, Mar 11",87
Bowling Green Falcons,"Mon, Nov 3",83
Bowling Green Falcons,"Thu, Nov 6",120
Bowling Green Falcons,"Sun, Nov 9",83
Bowling Green Falcons,"Sat, Nov 15",87
Bowling Green Falcons,"Wed, Nov 19",74
Bowling Green Falcons,"Mon, Nov 24",71
Bowling Green Falcons,"Wed, Nov 26",81
Bowling Green Falcons,"Mon, Dec 1",82
Bowling Green Falcons,"Sat, Dec 6",71
Bowling Green Falcons,"Sun, Dec 7",131
Bowling Green Falcons,"Tue, Dec 16",76
Bowling Green Falcons,"Sat, Dec 20",68
Bowling Green Falcons,"Mon, Dec 22",125
Bowling Green Falcons,"Tue, Dec 30",83
Bowling Green Falcons,"Sat, Jan 3",101
Bowling Green Falcons,"Tue, Jan 6",93
Bowling Green Falcons,"Fri, Jan 9",67
Bowling Green Falcons,"Sat, Jan 17",85
Bowling Green Falcons,"Tue, Jan 20",72
Bowling Green Falcons,"Sat, Jan 24",72
Bowling Green Falcons,"Tue, Jan 27",78
Bowling Green Falcons,"Sat, Jan 31",59
Bowling Green Falcons,"Tue, Feb 3",77
Bowling Green Falcons,"Sat, Feb 7",54
Bowling Green Falcons,"Wed, Feb 11",68
Bowling Green Falcons,"Sat, Feb 14",80
Bowling Green Falcons,"Tue, Feb 17",71
Bowling Green Falcons,"Fri, Feb 20",77
Bowling Green Falcons,"Tue, Feb 24",79
Bowling Green Falcons,"Sat, Feb 28",81
Bowling Green Falcons,"Fri, Mar 6",77
Bowling Green Falcons,"Thu, Mar 12",76
Ole Miss Rebels,"Mon, Nov 3",88
Ole Miss Rebels,"Fri, Nov 7",86
Ole Miss Rebels,"Tue, Nov 11",83
Ole Miss Rebels,"Fri, Nov 14",82
Ole Miss Rebels,"Tue, Nov 18",72
Ole Miss Rebels,"Tue, Nov 25",69
Ole Miss Rebels,"Wed, Nov 26",74
Ole Miss Rebels,"Tue, Dec 2",66
Ole Miss Rebels,"Sat, Dec 6",58
Ole Miss Rebels,"Sat, Dec 13",71
Ole Miss Rebels,"Wed, Dec 17",80
Ole Miss Rebels,"Sun, Dec 21",62
Ole Miss Rebels,"Mon, Dec 29",79
Ole Miss Rebels,"Sat, Jan 3",70
Ole Miss Rebels,"Wed, Jan 7",87
Ole Miss Rebels,"Sat, Jan 10",76
Ole Miss Rebels,"Wed, Jan 14",97
Ole Miss Rebels,"Sat, Jan 17",68
Ole Miss Rebels,"Tue, Jan 20",66
Ole Miss Rebels,"Sat, Jan 24",63
Ole Miss Rebels,"Sat, Jan 31",68
Ole Miss Rebels,"Tue, Feb 3",66
Ole Miss Rebels,"Sat, Feb 7",68
Ole Miss Rebels,"Wed, Feb 11",74
Ole Miss Rebels,"Sat, Feb 14",78
Ole Miss Rebels,"Wed, Feb 18",77
Ole Miss Rebels,"Sat, Feb 21",75
Ole Miss Rebels,"Wed, Feb 25",99
Ole Miss Rebels,"Sat, Feb 28",85
Ole Miss Rebels,"Tue, Mar 3",86
Ole Miss Rebels,"Sat, Mar 7",61
Ole Miss Rebels,"Wed, Mar 11",76
Ole Miss Rebels,"Thu, Mar 12",76
Ole Miss Rebels,"Fri, Mar 13",80
Ole Miss Rebels,"Sat, Mar 14",90
Tulsa Golden Hurricane,"Tue, Mar 17",89
Tulsa Golden Hurricane,"Mon, Nov 3",100
Tulsa Golden Hurricane,"Fri, Nov 7",82
Tulsa Golden Hurricane,"Wed, Nov 12",88
Tulsa Golden Hurricane,"Mon, Nov 17",83
Tulsa Golden Hurricane,"Fri, Nov 21",84
Tulsa Golden Hurricane,"Tue, Nov 25",81
Tulsa Golden Hurricane,"Wed, Nov 26",63
Tulsa Golden Hurricane,"Tue, Dec 2",111
Tulsa Golden Hurricane,"Sat, Dec 6",98
Tulsa Golden Hurricane,"Wed, Dec 10",117
Tulsa Golden Hurricane,"Sat, Dec 13",83
Tulsa Golden Hurricane,"Fri, Dec 19",82
Tulsa Golden Hurricane,"Mon, Dec 22",90
Tulsa Golden Hurricane,"Wed, Dec 31",97
Tulsa Golden Hurricane,"Sun, Jan 4",67
Tulsa Golden Hurricane,"Sat, Jan 10",78
Tulsa Golden Hurricane,"Wed, Jan 14",86
Tulsa Golden Hurricane,"Sun, Jan 18",99
Tulsa Golden Hurricane,"Wed, Jan 21",83
Tulsa Golden Hurricane,"Sat, Jan 24",87
Tulsa Golden Hurricane,"Wed, Jan 28",82
Tulsa Golden Hurricane,"Sun, Feb 1",93
Tulsa Golden Hurricane,"Wed, Feb 4",78
Tulsa Golden Hurricane,"Sun, Feb 8",74
Tulsa Golden Hurricane,"Wed, Feb 11",63
Tulsa Golden Hurricane,"Sat, Feb 14",77
Tulsa Golden Hurricane,"Wed, Feb 18",79
Tulsa Golden Hurricane,"Sun, Feb 22",100
Tulsa Golden Hurricane,"Wed, Feb 25",90
Tulsa Golden Hurricane,"Thu, Mar 5",93
Tulsa Golden Hurricane,"Sun, Mar 8",78
Tulsa Golden Hurricane,"Fri, Mar 13",90
Tulsa Golden Hurricane,"Sat, Mar 14",68
Louisiana Ragin' Cajuns,"Mon, Nov 3",64
Louisiana Ragin' Cajuns,"Fri, Nov 7",58
Louisiana Ragin' Cajuns,"Tue, Nov 11",62
Louisiana Ragin' Cajuns,"Fri, Nov 14",62
Louisiana Ragin' Cajuns,"Tue, Nov 18",66
Louisiana Ragin' Cajuns,"Fri, Nov 21",43
Louisiana Ragin' Cajuns,"Mon, Nov 24",56
Louisiana Ragin' Cajuns,"Fri, Nov 28",45
Louisiana Ragin' Cajuns,"Wed, Dec 3",55
Louisiana Ragin' Cajuns,"Sat, Dec 6",63
Louisiana Ragin' Cajuns,"Sat, Dec 13",44
Louisiana Ragin' Cajuns,"Thu, Dec 18",54
Louisiana Ragin' Cajuns,"Sat, Dec 20",76
Louisiana Ragin' Cajuns,"Sun, Dec 28",63
Louisiana Ragin' Cajuns,"Wed, Dec 31",58
Louisiana Ragin' Cajuns,"Sat, Jan 3",67
Louisiana Ragin' Cajuns,"Thu, Jan 8",85
Louisiana Ragin' Cajuns,"Sat, Jan 10",70
Louisiana Ragin' Cajuns,"Wed, Jan 14",54
Louisiana Ragin' Cajuns,"Sat, Jan 17",59
Louisiana Ragin' Cajuns,"Thu, Jan 22",58
Louisiana Ragin' Cajuns,"Thu, Jan 29",82
Louisiana Ragin' Cajuns,"Sat, Jan 31",69
Louisiana Ragin' Cajuns,"Wed, Feb 4",64
Louisiana Ragin' Cajuns,"Sat, Feb 7",85
Louisiana Ragin' Cajuns,"Thu, Feb 12",65
Louisiana Ragin' Cajuns,"Mon, Feb 16",72
Louisiana Ragin' Cajuns,"Thu, Feb 19",62
Louisiana Ragin' Cajuns,"Sat, Feb 21",67
Louisiana Ragin' Cajuns,"Tue, Feb 24",59
Louisiana Ragin' Cajuns,"Fri, Feb 27",58
Louisiana Ragin' Cajuns,"Tue, Mar 3",84
Louisiana Ragin' Cajuns,"Wed, Mar 4",72
Iowa Hawkeyes,"Fri, Mar 20",67
Iowa Hawkeyes,"Tue, Nov 4",101
Iowa Hawkeyes,"Fri, Nov 7",77
Iowa Hawkeyes,"Fri, Nov 14",81
Iowa Hawkeyes,"Tue, Nov 18",99
Iowa Hawkeyes,"Thu, Nov 20",93
Iowa Hawkeyes,"Tue, Nov 25",74
Iowa Hawkeyes,"Wed, Nov 26",59
Iowa Hawkeyes,"Tue, Dec 2",52
Iowa Hawkeyes,"Sat, Dec 6",83
Iowa Hawkeyes,"Thu, Dec 11",62
Iowa Hawkeyes,"Sun, Dec 14",91
Iowa Hawkeyes,"Sat, Dec 20",94
Iowa Hawkeyes,"Mon, Dec 29",90
Iowa Hawkeyes,"Sat, Jan 3",74
Iowa Hawkeyes,"Tue, Jan 6",67
Iowa Hawkeyes,"Sun, Jan 11",69
Iowa Hawkeyes,"Wed, Jan 14",72
Iowa Hawkeyes,"Sat, Jan 17",74
Iowa Hawkeyes,"Tue, Jan 20",68
Iowa Hawkeyes,"Wed, Jan 28",73
Iowa Hawkeyes,"Sun, Feb 1",84
Iowa Hawkeyes,"Wed, Feb 4",84
Iowa Hawkeyes,"Sun, Feb 8",76
Iowa Hawkeyes,"Wed, Feb 11",70
Iowa Hawkeyes,"Sat, Feb 14",57
Iowa Hawkeyes,"Tue, Feb 17",57
Iowa Hawkeyes,"Sun, Feb 22",71
Iowa Hawkeyes,"Wed, Feb 25",74
Iowa Hawkeyes,"Sat, Feb 28",69
Iowa Hawkeyes,"Thu, Mar 5",68
Iowa Hawkeyes,"Sun, Mar 8",75
Iowa Hawkeyes,"Wed, Mar 11",75
Iowa Hawkeyes,"Thu, Mar 12",69
Pittsburgh Panthers,"Mon, Nov 3",74
Pittsburgh Panthers,"Fri, Nov 7",78
Pittsburgh Panthers,"Mon, Nov 10",78
Pittsburgh Panthers,"Thu, Nov 13",49
Pittsburgh Panthers,"Mon, Nov 17",84
Pittsburgh Panthers,"Thu, Nov 20",67
Pittsburgh Panthers,"Sun, Nov 23",75
Pittsburgh Panthers,"Fri, Nov 28",67
Pittsburgh Panthers,"Tue, Dec 2",73
Pittsburgh Panthers,"Sun, Dec 7",73
Pittsburgh Panthers,"Sat, Dec 13",61
Pittsburgh Panthers,"Wed, Dec 17",103
Pittsburgh Panthers,"Sun, Dec 21",80
Pittsburgh Panthers,"Tue, Dec 30",69
Pittsburgh Panthers,"Sat, Jan 3",68
Pittsburgh Panthers,"Sat, Jan 10",72
Pittsburgh Panthers,"Wed, Jan 14",89
Pittsburgh Panthers,"Sat, Jan 17",59
Pittsburgh Panthers,"Wed, Jan 21",62
Pittsburgh Panthers,"Sat, Jan 24",72
Pittsburgh Panthers,"Tue, Jan 27",80
Pittsburgh Panthers,"Sat, Jan 31",52
Pittsburgh Panthers,"Tue, Feb 3",47
Pittsburgh Panthers,"Sat, Feb 7",67
Pittsburgh Panthers,"Tue, Feb 10",54
Pittsburgh Panthers,"Sat, Feb 14",65
Pittsburgh Panthers,"Sat, Feb 21",73
Pittsburgh Panthers,"Wed, Feb 25",67
Pittsburgh Panthers,"Sat, Feb 28",72
Pittsburgh Panthers,"Wed, Mar 4",74
Pittsburgh Panthers,"Sat, Mar 7",71
Pittsburgh Panthers,"Tue, Mar 10",64
Pittsburgh Panthers,"Wed, Mar 11",88
Queens University Royals,"Fri, Mar 20",71
Queens University Royals,"Mon, Nov 3",74
Queens University Royals,"Wed, Nov 5",87
Queens University Royals,"Sat, Nov 8",74
Queens University Royals,"Tue, Nov 11",81
Queens University Royals,"Sat, Nov 15",81
Queens University Royals,"Thu, Nov 20",101
Queens University Royals,"Sun, Nov 23",79
Queens University Royals,"Fri, Nov 28",69
Queens University Royals,"Wed, Dec 3",107
Queens University Royals,"Fri, Dec 12",102
Queens University Royals,"Sun, Dec 14",73
Queens University Royals,"Tue, Dec 16",80
Queens University Royals,"Mon, Dec 29",65
Queens University Royals,"Thu, Jan 1",91
Queens University Royals,"Sat, Jan 3",98
Queens University Royals,"Thu, Jan 8",77
Queens University Royals,"Sat, Jan 10",89
Queens University Royals,"Thu, Jan 15",85
Queens University Royals,"Sat, Jan 17",87
Queens University Royals,"Wed, Jan 21",87
Queens University Royals,"Sat, Jan 24",66
Queens University Royals,"Wed, Jan 28",90
Queens University Royals,"Sat, Jan 31",75
Queens University Royals,"Thu, Feb 5",93
Queens University Royals,"Sat, Feb 7",91
Queens University Royals,"Wed, Feb 11",87
Queens University Royals,"Sat, Feb 14",87
Queens University Royals,"Wed, Feb 18",85
Queens University Royals,"Sat, Feb 21",91
Queens University Royals,"Wed, Feb 25",96
Queens University Royals,"Sat, Feb 28",79
Queens University Royals,"Fri, Mar 6",71
Queens University Royals,"Sat, Mar 7",90
Queens University Royals,"Sun, Mar 8",98
High Point Panthers,"Thu, Mar 19",83
High Point Panthers,"Mon, Nov 3",97
High Point Panthers,"Sat, Nov 8",127
High Point Panthers,"Tue, Nov 11",85
High Point Panthers,"Fri, Nov 14",74
High Point Panthers,"Mon, Nov 17",93
High Point Panthers,"Thu, Nov 20",90
High Point Panthers,"Sat, Nov 22",91
High Point Panthers,"Sat, Nov 29",93
High Point Panthers,"Wed, Dec 3",84
High Point Panthers,"Fri, Dec 5",89
High Point Panthers,"Sun, Dec 14",78
High Point Panthers,"Tue, Dec 16",129
High Point Panthers,"Fri, Dec 19",84
High Point Panthers,"Mon, Dec 22",93
High Point Panthers,"Sun, Dec 28",123
High Point Panthers,"Wed, Dec 31",87
High Point Panthers,"Sat, Jan 3",80
High Point Panthers,"Wed, Jan 7",104
High Point Panthers,"Sat, Jan 10",84
High Point Panthers,"Wed, Jan 14",75
High Point Panthers,"Sat, Jan 17",89
High Point Panthers,"Fri, Jan 23",93
High Point Panthers,"Thu, Jan 29",84
High Point Panthers,"Sat, Jan 31",71
High Point Panthers,"Wed, Feb 4",80
High Point Panthers,"Sat, Feb 7",86
High Point Panthers,"Thu, Feb 12",95
High Point Panthers,"Sat, Feb 14",112
High Point Panthers,"Thu, Feb 19",74
High Point Panthers,"Sat, Feb 21",89
High Point Panthers,"Thu, Feb 26",79
High Point Panthers,"Fri, Mar 6",81
High Point Panthers,"Sat, Mar 7",75
High Point Panthers,"Sun, Mar 8",91
UNLV Rebels,"Tue, Mar 17",75
UNLV Rebels,"Tue, Nov 4",81
UNLV Rebels,"Sat, Nov 8",101
UNLV Rebels,"Tue, Nov 11",93
UNLV Rebels,"Sun, Nov 16",92
UNLV Rebels,"Thu, Nov 20",99
UNLV Rebels,"Mon, Nov 24",67
UNLV Rebels,"Tue, Nov 25",76
UNLV Rebels,"Thu, Nov 27",65
UNLV Rebels,"Sun, Dec 7",75
UNLV Rebels,"Sat, Dec 13",60
UNLV Rebels,"Sat, Dec 20",84
UNLV Rebels,"Mon, Dec 29",89
UNLV Rebels,"Sat, Jan 3",67
UNLV Rebels,"Tue, Jan 6",66
UNLV Rebels,"Fri, Jan 9",62
UNLV Rebels,"Tue, Jan 13",89
UNLV Rebels,"Sat, Jan 17",76
UNLV Rebels,"Tue, Jan 20",86
UNLV Rebels,"Sat, Jan 24",71
UNLV Rebels,"Tue, Jan 27",61
UNLV Rebels,"Fri, Jan 30",76
UNLV Rebels,"Tue, Feb 3",96
UNLV Rebels,"Sat, Feb 7",80
UNLV Rebels,"Tue, Feb 10",82
UNLV Rebels,"Fri, Feb 13",86
UNLV Rebels,"Wed, Feb 18",86
UNLV Rebels,"Sat, Feb 21",91
UNLV Rebels,"Wed, Feb 25",67
UNLV Rebels,"Sat, Feb 28",85
UNLV Rebels,"Tue, Mar 3",92
UNLV Rebels,"Fri, Mar 6",86
UNLV Rebels,"Wed, Mar 11",73
UNLV Rebels,"Thu, Mar 12",60
Northeastern Huskies,"Mon, Nov 3",75
Northeastern Huskies,"Fri, Nov 7",68
Northeastern Huskies,"Tue, Nov 11",77
Northeastern Huskies,"Sat, Nov 15",74
Northeastern Huskies,"Thu, Nov 20",57
Northeastern Huskies,"Sat, Nov 22",93
Northeastern Huskies,"Fri, Nov 28",73
Northeastern Huskies,"Wed, Dec 3",59
Northeastern Huskies,"Sun, Dec 7",73
Northeastern Huskies,"Sat, Dec 20",83
Northeastern Huskies,"Mon, Dec 22",77
Northeastern Huskies,"Mon, Dec 29",91
Northeastern Huskies,"Wed, Dec 31",85
Northeastern Huskies,"Sat, Jan 3",82
Northeastern Huskies,"Thu, Jan 8",78
Northeastern Huskies,"Sat, Jan 10",78
Northeastern Huskies,"Thu, Jan 15",85
Northeastern Huskies,"Mon, Jan 19",68
Northeastern Huskies,"Thu, Jan 22",80
Northeastern Huskies,"Sat, Jan 24",78
Northeastern Huskies,"Sat, Jan 31",84
Northeastern Huskies,"Thu, Feb 5",63
Northeastern Huskies,"Sat, Feb 7",55
Northeastern Huskies,"Thu, Feb 12",67
Northeastern Huskies,"Thu, Feb 19",61
Northeastern Huskies,"Sat, Feb 21",68
Northeastern Huskies,"Thu, Feb 26",77
Northeastern Huskies,"Sat, Feb 28",65
Northeastern Huskies,"Tue, Mar 3",83
Northeastern Huskies,"Fri, Mar 6",88
Northeastern Huskies,"Sat, Mar 7",77
Southern Jaguars,"Mon, Nov 3",77
Southern Jaguars,"Wed, Nov 5",82
Southern Jaguars,"Mon, Nov 10",115
Southern Jaguars,"Sat, Nov 15",129
Southern Jaguars,"Tue, Nov 18",93
Southern Jaguars,"Fri, Nov 21",66
Southern Jaguars,"Sat, Nov 29",75
Southern Jaguars,"Mon, Dec 1",101
Southern Jaguars,"Mon, Dec 8",69
Southern Jaguars,"Wed, Dec 10",83
Southern Jaguars,"Tue, Dec 16",67
Southern Jaguars,"Sun, Dec 21",67
Southern Jaguars,"Mon, Dec 29",55
Southern Jaguars,"Sat, Jan 3",84
Southern Jaguars,"Mon, Jan 5",85
Southern Jaguars,"Sat, Jan 10",59
Southern Jaguars,"Mon, Jan 12",77
Southern Jaguars,"Sat, Jan 17",71
Southern Jaguars,"Sat, Jan 24",74
Southern Jaguars,"Wed, Jan 28",80
Southern Jaguars,"Sat, Jan 31",73
Southern Jaguars,"Mon, Feb 2",96
Southern Jaguars,"Sat, Feb 7",81
Southern Jaguars,"Mon, Feb 9",69
Southern Jaguars,"Sat, Feb 14",87
Southern Jaguars,"Mon, Feb 16",73
Southern Jaguars,"Sat, Feb 21",87
Southern Jaguars,"Thu, Feb 26",71
Southern Jaguars,"Sat, Feb 28",79
Southern Jaguars,"Tue, Mar 3",71
Southern Jaguars,"Thu, Mar 5",88
Southern Jaguars,"Thu, Mar 12",84
Southern Jaguars,"Fri, Mar 13",73
Southern Jaguars,"Sat, Mar 14",66
Valparaiso Beacons,"Tue, Nov 4",66
Valparaiso Beacons,"Fri, Nov 7",59
Valparaiso Beacons,"Wed, Nov 12",68
Valparaiso Beacons,"Sun, Nov 16",68
Valparaiso Beacons,"Wed, Nov 19",90
Valparaiso Beacons,"Wed, Nov 26",56
Valparaiso Beacons,"Sat, Nov 29",84
Valparaiso Beacons,"Tue, Dec 2",72
Valparaiso Beacons,"Sat, Dec 6",98
Valparaiso Beacons,"Sat, Dec 13",70
Valparaiso Beacons,"Tue, Dec 16",70
Valparaiso Beacons,"Sun, Dec 21",79
Valparaiso Beacons,"Mon, Dec 29",48
Valparaiso Beacons,"Thu, Jan 1",70
Valparaiso Beacons,"Sun, Jan 4",66
Valparaiso Beacons,"Wed, Jan 7",77
Valparaiso Beacons,"Sat, Jan 10",79
Valparaiso Beacons,"Tue, Jan 13",74
Valparaiso Beacons,"Sat, Jan 17",54
Valparaiso Beacons,"Wed, Jan 21",69
Valparaiso Beacons,"Wed, Jan 28",77
Valparaiso Beacons,"Sat, Jan 31",76
Valparaiso Beacons,"Tue, Feb 3",65
Valparaiso Beacons,"Fri, Feb 6",70
Valparaiso Beacons,"Mon, Feb 9",81
Valparaiso Beacons,"Thu, Feb 12",64
Valparaiso Beacons,"Sun, Feb 15",76
Valparaiso Beacons,"Wed, Feb 18",79
Valparaiso Beacons,"Sat, Feb 21",71
Valparaiso Beacons,"Wed, Feb 25",74
Valparaiso Beacons,"Sat, Feb 28",79
Valparaiso Beacons,"Thu, Mar 5",63
Valparaiso Beacons,"Fri, Mar 6",84
Wright State Raiders,"Fri, Mar 20",73
Wright State Raiders,"Mon, Nov 3",86
Wright State Raiders,"Thu, Nov 6",67
Wright State Raiders,"Tue, Nov 11",71
Wright State Raiders,"Sat, Nov 15",92
Wright State Raiders,"Sun, Nov 16",72
Wright State Raiders,"Thu, Nov 20",100
Wright State Raiders,"Tue, Nov 25",79
Wright State Raiders,"Fri, Nov 28",69
Wright State Raiders,"Wed, Dec 3",68
Wright State Raiders,"Sun, Dec 7",86
Wright State Raiders,"Sat, Dec 13",74
Wright State Raiders,"Tue, Dec 16",76
Wright State Raiders,"Mon, Dec 22",70
Wright State Raiders,"Mon, Dec 29",88
Wright State Raiders,"Thu, Jan 1",76
Wright State Raiders,"Sun, Jan 4",81
Wright State Raiders,"Fri, Jan 9",84
Wright State Raiders,"Sun, Jan 11",94
Wright State Raiders,"Thu, Jan 15",93
Wright State Raiders,"Wed, Jan 21",79
Wright State Raiders,"Sat, Jan 24",88
Wright State Raiders,"Fri, Jan 30",76
Wright State Raiders,"Sun, Feb 1",83
Wright State Raiders,"Wed, Feb 4",66
Wright State Raiders,"Sat, Feb 7",73
Wright State Raiders,"Thu, Feb 12",74
Wright State Raiders,"Sun, Feb 15",102
Wright State Raiders,"Thu, Feb 19",85
Wright State Raiders,"Sun, Feb 22",68
Wright State Raiders,"Wed, Feb 25",74
Wright State Raiders,"Sat, Feb 28",92
Wright State Raiders,"Wed, Mar 4",90
Wright State Raiders,"Mon, Mar 9",103
Wright State Raiders,"Tue, Mar 10",66
UConn Huskies,"Fri, Mar 20",82
UConn Huskies,"Mon, Nov 3",79
UConn Huskies,"Fri, Nov 7",110
UConn Huskies,"Mon, Nov 10",89
UConn Huskies,"Sat, Nov 15",86
UConn Huskies,"Wed, Nov 19",67
UConn Huskies,"Sun, Nov 23",72
UConn Huskies,"Fri, Nov 28",74
UConn Huskies,"Tue, Dec 2",61
UConn Huskies,"Fri, Dec 5",83
UConn Huskies,"Tue, Dec 9",77
UConn Huskies,"Fri, Dec 12",71
UConn Huskies,"Tue, Dec 16",79
UConn Huskies,"Sun, Dec 21",72
UConn Huskies,"Wed, Dec 31",90
UConn Huskies,"Sun, Jan 4",73
UConn Huskies,"Wed, Jan 7",103
UConn Huskies,"Sat, Jan 10",72
UConn Huskies,"Tue, Jan 13",69
UConn Huskies,"Sat, Jan 17",64
UConn Huskies,"Sat, Jan 24",75
UConn Huskies,"Tue, Jan 27",87
UConn Huskies,"Sat, Jan 31",85
UConn Huskies,"Tue, Feb 3",92
UConn Huskies,"Fri, Feb 6",72
UConn Huskies,"Wed, Feb 11",80
UConn Huskies,"Sat, Feb 14",79
UConn Huskies,"Wed, Feb 18",84
UConn Huskies,"Sat, Feb 21",73
UConn Huskies,"Wed, Feb 25",72
UConn Huskies,"Sat, Feb 28",71
UConn Huskies,"Sat, Mar 7",62
UConn Huskies,"Thu, Mar 12",93
UConn Huskies,"Fri, Mar 13",67
UConn Huskies,"Sat, Mar 14",52
Liberty Flames,"Tue, Mar 17",77
Liberty Flames,"Mon, Nov 3",98
Liberty Flames,"Fri, Nov 7",90
Liberty Flames,"Sun, Nov 9",88
Liberty Flames,"Mon, Nov 17",98
Liberty Flames,"Mon, Nov 24",79
Liberty Flames,"Tue, Nov 25",69
Liberty Flames,"Wed, Nov 26",64
Liberty Flames,"Sat, Dec 6",92
Liberty Flames,"Wed, Dec 10",45
Liberty Flames,"Tue, Dec 16",95
Liberty Flames,"Sat, Dec 20",64
Liberty Flames,"Sun, Dec 28",97
Liberty Flames,"Fri, Jan 2",81
Liberty Flames,"Sun, Jan 4",78
Liberty Flames,"Thu, Jan 8",72
Liberty Flames,"Sat, Jan 10",82
Liberty Flames,"Thu, Jan 15",73
Liberty Flames,"Sat, Jan 17",80
Liberty Flames,"Wed, Jan 21",76
Liberty Flames,"Sat, Jan 24",67
Liberty Flames,"Thu, Jan 29",81
Liberty Flames,"Wed, Feb 4",75
Liberty Flames,"Sat, Feb 7",79
Liberty Flames,"Wed, Feb 11",77
Liberty Flames,"Sat, Feb 14",73
Liberty Flames,"Thu, Feb 19",90
Liberty Flames,"Sat, Feb 21",73
Liberty Flames,"Thu, Feb 26",65
Liberty Flames,"Sat, Feb 28",81
Liberty Flames,"Thu, Mar 5",71
Liberty Flames,"Sat, Mar 7",79
Liberty Flames,"Wed, Mar 11",69
New Orleans Privateers,"Mon, Nov 3",78
New Orleans Privateers,"Mon, Nov 10",58
New Orleans Privateers,"Fri, Nov 14",85
New Orleans Privateers,"Tue, Nov 18",79
New Orleans Privateers,"Fri, Nov 21",76
New Orleans Privateers,"Mon, Nov 24",78
New Orleans Privateers,"Wed, Nov 26",50
New Orleans Privateers,"Wed, Dec 3",70
New Orleans Privateers,"Sat, Dec 6",76
New Orleans Privateers,"Mon, Dec 8",84
New Orleans Privateers,"Sat, Dec 13",57
New Orleans Privateers,"Mon, Dec 29",85
New Orleans Privateers,"Wed, Dec 31",69
New Orleans Privateers,"Sat, Jan 3",68
New Orleans Privateers,"Mon, Jan 5",83
New Orleans Privateers,"Sat, Jan 10",77
New Orleans Privateers,"Mon, Jan 12",79
New Orleans Privateers,"Sat, Jan 17",79
New Orleans Privateers,"Mon, Jan 19",89
New Orleans Privateers,"Sat, Jan 24",63
New Orleans Privateers,"Tue, Jan 27",80
New Orleans Privateers,"Sat, Jan 31",75
New Orleans Privateers,"Mon, Feb 2",94
New Orleans Privateers,"Sat, Feb 7",76
New Orleans Privateers,"Mon, Feb 9",84
New Orleans Privateers,"Sat, Feb 14",60
New Orleans Privateers,"Mon, Feb 16",78
New Orleans Privateers,"Sat, Feb 21",77
New Orleans Privateers,"Mon, Feb 23",77
New Orleans Privateers,"Sat, Feb 28",63
New Orleans Privateers,"Mon, Mar 2",78
New Orleans Privateers,"Sun, Mar 8",73
